baseRank,baseRegressorText,baseRegressorKey,baseTotalOrder,baseMaxMemoryTap,structuralSupportWaveformCount,structuralSupportFraction,oneToOneSupportWaveformCount,oneToOneSupportFraction,exactCount,correlatedClearCount,correlatedBestCount,redundantSupportCount,noMatchCount,supportWaveformList,oneToOneWaveformList
1,x(n)^1,"X=0;Xconj=zeros(1,0);Xenv=zeros(1,0)",1,0,8,1,8,1,7,0,0,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
10,x(n-10)^1,"X=10;Xconj=zeros(1,0);Xenv=zeros(1,0)",1,10,8,1,8,1,7,0,0,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
53,x(n)^1 |x(n)|^1,"X=0;Xconj=zeros(1,0);Xenv=0",2,0,8,1,8,1,5,2,0,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
191,x*(n)^3,"X=zeros(1,0);Xconj=[0 0 0];Xenv=zeros(1,0)",3,0,8,1,8,1,6,1,0,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
70,x(n-1)^1 |x(n)|^2,"X=1;Xconj=zeros(1,0);Xenv=[0 0]",3,1,8,1,8,1,5,1,1,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
213,x(n-3)^1 |x(n-1)|^2,"X=3;Xconj=zeros(1,0);Xenv=[1 1]",3,3,8,1,8,1,2,3,2,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
78,x(n-6)^1 |x(n-6)|^2,"X=6;Xconj=zeros(1,0);Xenv=[6 6]",3,6,8,1,8,1,1,5,1,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
2,x(n)^1 |x(n)|^3,"X=0;Xconj=zeros(1,0);Xenv=[0 0 0]",4,0,8,1,8,1,4,2,1,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
139,x(n-1)^1 x(n-2)^1 x*(n)^1 |x(n)|^2,"X=[1 2];Xconj=0;Xenv=[0 0]",5,2,8,1,8,1,1,3,3,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
4,x(n)^1 |x(n)|^5,"X=0;Xconj=zeros(1,0);Xenv=[0 0 0 0 0]",6,0,8,1,8,1,6,1,0,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
129,x(n)^5 |x(n)|^2,"X=[0 0 0 0 0];Xconj=zeros(1,0);Xenv=[0 0]",7,0,8,1,8,1,6,1,0,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
192,x*(n)^3 |x(n)|^6,"X=zeros(1,0);Xconj=[0 0 0];Xenv=[0 0 0 0 0 0]",9,0,8,1,8,1,6,1,0,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
272,x(n-1)^1 |x(n+1)|^8,"X=1;Xconj=zeros(1,0);Xenv=[-1 -1 -1 -1 -1 -1 -1 -1]",9,1,8,1,8,1,2,1,4,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
26,x(n-1)^1 |x(n+1)|^9,"X=1;Xconj=zeros(1,0);Xenv=[-1 -1 -1 -1 -1 -1 -1 -1 -1]",10,1,8,1,8,1,2,1,4,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
193,x*(n)^3 |x(n)|^8,"X=zeros(1,0);Xconj=[0 0 0];Xenv=[0 0 0 0 0 0 0 0]",11,0,8,1,8,1,5,2,0,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
275,x(n-3)^2 x*(n)^1 |x(n)|^8,"X=[3 3];Xconj=0;Xenv=[0 0 0 0 0 0 0 0]",11,3,8,1,8,1,1,5,1,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
285,x(n-2)^1 |x(n-2)|^11,"X=2;Xconj=zeros(1,0);Xenv=[2 2 2 2 2 2 2 2 2 2 2]",12,2,8,1,8,1,0,6,1,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
190,x*(n)^3 |x(n)|^10,"X=zeros(1,0);Xconj=[0 0 0];Xenv=[0 0 0 0 0 0 0 0 0 0]",13,0,8,1,8,1,6,1,0,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
209,x(n)^3 x*(n-1)^2 |x(n)|^8,"X=[0 0 0];Xconj=[1 1];Xenv=[0 0 0 0 0 0 0 0]",13,1,8,1,8,1,3,4,0,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
23,x(n)^2 x*(n-2)^1 |x(n)|^10,"X=[0 0];Xconj=2;Xenv=[0 0 0 0 0 0 0 0 0 0]",13,2,8,1,8,1,1,4,2,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
54,x(n)^1 |x(n-2)|^12,"X=0;Xconj=zeros(1,0);Xenv=[2 2 2 2 2 2 2 2 2 2 2 2]",13,2,8,1,8,1,4,3,0,0,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08
33,x(n)^1 |x(n)|^2,"X=0;Xconj=zeros(1,0);Xenv=[0 0]",3,0,8,1,7,0.875,5,1,0,1,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF07;WF08
182,x(n)^1 x(n-3)^1 x*(n-1)^1 |x(n)|^4,"X=[0 3];Xconj=1;Xenv=[0 0 0 0]",7,3,8,1,7,0.875,0,3,3,1,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF05;WF06;WF07;WF08
58,x(n)^1 |x(n)|^7,"X=0;Xconj=zeros(1,0);Xenv=[0 0 0 0 0 0 0]",8,0,8,1,7,0.875,4,0,2,1,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF07;WF08
100,x(n)^1 |x(n+1)|^7,"X=0;Xconj=zeros(1,0);Xenv=[-1 -1 -1 -1 -1 -1 -1]",8,1,8,1,7,0.875,4,0,2,1,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF05;WF06;WF07;WF08
147,x(n)^1 |x(n)|^8,"X=0;Xconj=zeros(1,0);Xenv=[0 0 0 0 0 0 0 0]",9,0,8,1,7,0.875,2,1,3,1,0,WF01;WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF05;WF07;WF08
